dataset,query,duplicates
gossipcop,6951789813605865250,6951789813605865250 16825458760271544958 15441912374606372780 9853976626407838882 9643512010839955080 7067420947843935982 11182857149166849368 16825458760271544958 13278596335794107992 1287088566942144621 13850489922597483781 10168759355506942139 16792082827716342918 9993198342853512930 3776041432961772421 12157630735602291676 13221235490839324030 11812865866935828162 12352935994746210525 16752156415749321436 524367648370527135 11858697558348186660 4254532783749184507 11021301338170339160 5105883505098455127
gossipcop,347247781342582587,347247781342582587 9696676663803746072 1499887813120219033 16825458760271544958 6753717208467919287 3354913789960574945 11842578133643407764 1313457541325367152 11789236485393828384 3778132592777720049 11335508490670129232 16188935464304876292 17401661967139241570 7589835477415514096 1069241473246445096 12696936469176448287 8718149577150241447 13589447277781530033 12756137015690238577 908350974477508752 5196458353058162064 6697744313792911615 3524852601029499871 8414753826074367233 13986819836675467174 16825458760271544958
gossipcop,391543406537556053,391543406537556053 6831443890426163540 12145250405154604390 13871590297370481730 12475010909179575885 11108181417752840266 11187366311133717608 8281294741742328535 8281294741742328535 3949583280599913779 15172964388808952824 8281294741742328535 11219119836479585815 16838859356274692980 4102820085637614843 2152240301181960259 17237491310910197315 16684275588399996650 16825458760271544958 5440322012084065092 16825458760271544958 16473066311723991700 1658309833826308826 16886539523717285467 15945061593744030475 18073931113880299788 16825458760271544958 2958026922055041440
gossipcop,8161602105816751606,1843680656709394332 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 8738071104733953520 44128433634412287 14144530429033621855 2386508132411074049 5541964115005705008 17775489603906032929 14678847654017628652 2144623077882084356 2144623077882084356 15560668950975364324 4998156194886476999 6168036004703118603 17672007226580121178 2656955820306702031 10389438653402995920 16887775094882191283 5887001060485208288 5071021916602543093 2491340465313004915
gossipcop,6680121124163676952,6680121124163676952 10918495418547228039 8885079649085607450 670855941027892810 17878707306319478509 16825458760271544958 8623372582104664734 5213709646599724875 3720808191819711661 1362532177946968313 16861063330072979770 6776212935658642223 8327949859346747581 15645240325795948842 16557908953387435870 2296076980429090329 1533547377795894549 13102048436083060336 7309389474359559616 12566757528825574256 7153254665630977615 2789219389173055823 6066660903896593222 7079006724099935760 1318856492861849018 2017434302689260696 3013423504705052895 2782983488404581614
gossipcop,10955073671925962280,10955073671925962280 16825458760271544958 16825458760271544958 2890317237530735651 16825458760271544958 10684364489981656584 16825458760271544958 16839739247722395471 14614615967879836516 17553138435787286502 15560668950975364324 6601563520263882922 5955500595830172666 11166585030183773365 15462077540515769002 16825458760271544958 17491580610565803088 2636186751600340298 12070059096503852621 8159170977065910695 15775941876241055823 5046733519570653322 16825458760271544958 12032750413074614842 16825458760271544958
gossipcop,5201842113929546810,9258923080651759092 5201842113929546810 4749098573809758192 10864022464036019456 1458053764681772463 16825458760271544958 9831437768393985211 16825458760271544958 16825458760271544958 15848534472527124727 16825458760271544958 9455455959871561193 10763834161942476396 15848534472527124727 6359315459136257676 6842191229019005706 16825458760271544958 16825458760271544958 157894721937532306 15560668950975364324 4918074534739088795 651446981792397398
gossipcop,2037741255253918972,2037741255253918972 10391748931707706528 5979110074306285706 5031709302288644410 1743481221693843584 7317934826445191517 16825458760271544958 16825458760271544958 13891199180675230064 1733544519882242630 5282043847246416619 14118528091229440617 4918074534739088795 17103494374632496484 3945251915090027364 12823812751569793782 16825458760271544958 17716993162661066514 759384921411586714 1129970501433461057 5026799137116101231 9956631069733852432 5025519522321645967 15477897016015354386 7857198546547822592 16825458760271544958 9044606972358410491 16825458760271544958
gossipcop,1363092050912021111,1363092050912021111 1367591253029880407 12934912938727627310 12291001667730704736 2088133838357740146 11213570006751346836 8422652068361268866 13483673603170779765 4384814089462724838 12218620439313779530 3354913789960574945 6793085818400720429 16230380754848114887 16825458760271544958 4552601131282255115 8313693794368791523 6688106278238035594 9463153466225399059 5046733519570653322 4797202189484046920 331598374538719209 7896764418478155698 10824985429252058438 16825458760271544958 16003074109985686228 2360026988418739236
gossipcop,4715529700802241636,4715529700802241636 8245729454833615600 7058445046610348415 2892475343451903713 14659762707199072211 17859244644568750569 4294977006712729668 10104156124092425220 2974895161056713790 2459041288922143801 12205142331770091209 7114528432479179786 16825458760271544958 14382826834685643030 4311781999478102217 2425337567148193849 16825458760271544958 7599983991791674460 17411966800105898002 17806533970482291977 8623372582104664734 13815915435139940121 1592757240550692214 239633342101343114 9337056245701183290 16825458760271544958
gossipcop,1389804979915458788,1389804979915458788 1389813845751388390 17296781967490095360 9848163545363858073 717981871646403923 4730344699114709043 12426414479384537283 1732295199481857358 13667305654828291526 13859061210121711259 17490240696021702522 8717455197763967623 13313717646681409670 11329034992158130315 14642766722924859251 12422703356217825485 11888197212449483475 39491096373582505 3354913789960574945 10721072267417590757 3658437402303967948 13849394364180613459 6030032732059540014 2765935920364935064 3935208124913847801 4104130154038533007 1475085299731913665 74177954661133880 13510694995197837925
gossipcop,9554848239879058484,9554848239879058484 11221439717679947010 16825458760271544958 5483922885272769063 16825458760271544958 8417026966495131397 8347773971941156345 1613910710483547986 836796582695111052 13379305669105920025 16825458760271544958 1877259841025018931 2346379854971490441 9878788687221577808 2343161519630314387 14032776318238785562 9634165734804274085 3003122720145827284 13658996386295219529 894750821363373030 16825458760271544958 10356706255978162460 13443870713416801825 15688471384102194059 16964291001910144780 2100825641704085306 3633239875282262424
gossipcop,4503716862044431954,1852683236908170858 1843676038190218858 5304614700571239804 4777336616613810746 17199023554781529923 18267566376896709091 7693573841463551113 11298070763936957923 3877514902269766222 12005497792702586888 6372266878786652670 2906683195456397325 234914120283392634 6696759675824275604 14445388680742951832 5072335788105821339 16825458760271544958 12005497792702586888 12525878758995789612 3761253249464607815 677575166315197321 2140133777345819265 7344081890841504922 455627341984401711 14234492888500795695 14891893620364050149 12450535162075358534 16467814116897654808
gossipcop,7652627155590392300,7652627155590392300 8230188917862105514 4628170739399326851 1074759222535423037 13304402143579908296 2144701801832503254 6711143732752195595 6381859738848836139 16375541939815743963 13971063933983599722 16825458760271544958 18279666289868576301 1819834593592226134 2964663716610113752 1888445231324335071 9560040668440711944 7549467105230953483 5201469610447211202 12715893154790389673 2954790852924890216 10746668571463864017 5721376823452695786 14236363774166360249 17417778694705645528 18106204198259558948 17381787631382260092 12768244473470864669
gossipcop,2709816341422972571,2719945564180816395 2449737826545915337 2709816341422972571 4154115138569484952 5902034952207835438 2709887723831876121 3510229001660785300 12343015861022589626 13732702894472337214 12857632466045867092 1222671572653977443 3053224622657900194 17264112331768060569 7407153389572823723 2431715188029104655 2449737826545915337 5680802531819545432 1137791179777290140 7613112547137588548 11600512964980984411 16825458760271544958 12391700360410471305 2511734865785821385 16825458760271544958
gossipcop,13004987156233246601,13004987156233246601 10771198447792214957 13957952377277928894 16825458760271544958 14876144102137740923 609551749625229179 17347485776821810091 9071897967096477901 3384280311859689494 3541861175441531001 2873542531064917697 8361461174724205305 5584331007765845853 5221842037108389771 1080005191739924945 878628130055624311 2053163791822174895 16825458760271544958 3294666754607078339 15345150559454894831 189128666241866956 12280160518756131923 12024078452480563496 16825458760271544958 2334107431978471578 601104880609109911 5133074696454903208 9323957019127596473
gossipcop,8623372582104664734,8623372582104664734 12935820966302652084 12493503167193235913 6327168217400932 5903167604134184701 6977342851346155266 8939686393010087965 16825458760271544958 17217146134030263111 7908075413423820956 6436746876565455121 15501056882580158491 16825458760271544958 16825458760271544958 7352244139223222356 6236781090451148140 16825458760271544958 16825458760271544958 16825458760271544958 1369103410481766884 16825458760271544958 16825458760271544958 16825458760271544958 926494707230971366 627093390890808433 9692521596426517894
gossipcop,10890430766705508759,10890430766705508759 12080809310773910509 8089341996982276702 4122360653536809809 11540478587632298570 12217607239565689218 12217607239565689218 15527931601459042526 8623372582104664734 18115997349070999260 16198886175454042756 16351813351444105840 4187312754080970825 6581211299520147863 15884503512083332507 5291693126650697158 8263552136216717292 1495058428039117408 15891203221328921627 3353423815558686948 16337437728915594302 12779166904149513652 14130092338590985801 5846544738507484095 2857147171912856501 480803414646201097
gossipcop,14380856207088774694,8944608449410220961 12452261483576191039 5592761487859393290 7649780548869482566 209978303408060402 410412878319901267 410412878319901267 8429027400158293433 14816480654945752098 155240125242078358 18267128980786696549 16196189786116258543 1622575194168711491 8560984010728164301 16112385924360049696 15316130932090487208 9377863828947335841 12314576994379223678 14380856207088774694 8679917568656023732 218718306674364737 16284097954174963096 17420631010166476295 16360182878266631507 8208965440048328830 4684239131145619834 8195650040810041873 9979918074558178567
gossipcop,2360634965550977084,11821893465377516234 4028436917033572723 1318920803020970825 2360634965550977084 12882719331270492295 17336523054541049523 11052486081558641870 2752480670212950108 6079665115137632939 9785062329327826771 1142932142306641210 10215393479126203557 2541218755004392618 3470519000970191128 8924333652388648849 11736476388772665793 12209358148849106055 12197432947409144042 15513210996007840764 8865211573302541647 366112735580711244 16305726269198504945 9711747604566855201 8709580497400071744 10657126240033266470 7510790779178117282 9658327472530484489
gossipcop,10435726485369488158,10435726485369488158 11404440321384390021 8264114837139935242 6407865707213014934 8382429500680377933 3266825948381303656 12947000208593916131 15410301122959552082 2106928155569433160 489950052136648675 13234921651604225702 16242359098686441308 17561112614206382272 4546949106624915783 16825458760271544958 14258526068358557601 58375401174975499 513200051144103302 12081722999199943140 8207152058609829090 15829848943576742574 10892749165841743558 17790892057032585376 772683131367173632 1025432564826808851 1488099704682504374 15035582795336358865 2116331270240227242 16432357279459414947
gossipcop,1552873072113788459,6202445848578770817 3862802072073325936 2031151884725408372 17447437952328457098 1552873072113788459 1212866484855324948 4797006498775046926 12963969434306392081 8759861242038771403 2338828783045677174 9316920592950458332 11651128822372782413 6026934014048173922 12197842433859476379 16825458760271544958 5929031555796692491 18336181740552211693 194856555714312998 5595634798361156322 14477102788095950261 14251252498374359311 11429513232348466816 596945224062504289 7400218062128872096 1662996339797221505 14564470020559922267 15325891542939479435
gossipcop,13841030877946143693,13841030877946143693 3450375825371041813 13483199302239534006 10799816831478576763 12922591033648371100 2890230778720662381 1811167191858834402 16024545905739407134 4737921376144542902 8283143226837667459 5250738098342085196 2848355049445589191 1236796110955716963 5699073316914823919 6239630651083238487 6217353727900463345 4693237241324079648 12056137062767498269 5608670324064290203 16825458760271544958 12710305291477575489 17346942463588557341 7562911858394501449 1476431771019750017 16794266979812010354 15177707016924030623
gossipcop,4155794345998140817,4155794345998140817 6133479527754372369 12530004733338238427 13980486367961159145 17292134660085053950 16958468596490152694 14818381882727155361 10823721890660693668 4420994650844402161 2655944106688878592 196299590358139061 11869684453183328455 17410305516723094263 10274999275556412577 14166571033010169581 7396470274043549373 6361161503992164760 16543978243482955946 17621925158260423190 15168899131902210129 2441010449912011055 10146230383079345471 17084978651082214532 18284714997816299539 5352086851528511210 16728342488927832341 10116802316744222628
gossipcop,2397058825711630373,17498410031696580719 2875639623494155177 11699597745112761961 16588964931129243435 2397058825711630373 2145099019491082374 17789793265605990098 17905938245666286761 15705177768036316165 10496889151247766861 869119622193749454 12755589858993638201 6917133071550602228 94580417835231301 11187100087113423198 4933009224514037616 2865451549125048898 15560668950975364324 5874180700989332326 16825458760271544958 2975908214740615542 16946229759619306858 16825458760271544958 16482808063718758556 10729536093098929505 10563301774177932485
gossipcop,11628667617090143518,11628667617090143518 3246837524475179096 11885799665668621835 7528254301963579140 9594263831329274510 13147094027710791824 4801501531062961061 9639909958686206010 16825458760271544958 8609784162961529378 16825458760271544958 53889917743572875 9012269432633299994 824285464959509818 9282667349693558575 16825458760271544958 1495513957011213842 8585286120286296436 4693237241324079648 16515092897625771706 4133424012536486563 13134187092230300578 4848241075499172164 3423993633029998201 4405008344438148670
gossipcop,16091883878906815382,17263016373458641474 16091883878906815382 7459232900156724015 14542287964939569225 16825458760271544958 2204224080239645718 1870922803238096724 5849922351083350999 12595355472509736284 16825458760271544958 2503500711494146581 16825458760271544958 582595248387513724 1074759222535423037 16825458760271544958 1050767307736946740 16825458760271544958 8745228248241547063 8824133302770280110 16825458760271544958 17835417661268308528 12816268465552403775 16825458760271544958 11611111172095669375 13702043561680459277 8684386585681647561 8889032058665633068
gossipcop,15128539617488838141,16825458760271544958 15717109594000700182 15128539617488838141 17341350108537834225 14898599113199903014 16825458760271544958 12207267905594308735 16032761898449928613 16825458760271544958 6360064169870992193 5186537087905995581 16767971940751469347 18304845972622080587 16014964248458368825 26740407174841685 26740407174841685 17886827970460428152 16825458760271544958 2646126875291193378 15560668950975364324 3314797577650014480 1649388802400503897 3046908487513924219 14488242979994153826 3550905813017779613 11830240785899013190 16825458760271544958
gossipcop,18267179292896296486,3237362608639256290 10525062060279204647 7724194988084333768 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 13505758842344082062 16825458760271544958 16825458760271544958 1369103410481766884 9001373291038828124 17646019197149658963 9585557773045739546 17310631599336892595 16375020766280425613 6758879104212466619 16825458760271544958 16825458760271544958 16825458760271544958 6407347227283675905 9510180450337597100 12443694263605422579 16825458760271544958
gossipcop,14967555842882965276,6976662244098136096 14967555842882965276 10795786882122194729 11380621532582319781 14421392364564951306 12486080043742331016 10645972650055638538 5768590876301871757 2421585374419147175 16184982098950982811 15866289901969680475 8121891961160762524 11796120755501076362 17250701349829345654 11660319578064785953 18073263923636149357 14563956261169512857 829691820552964128 12444876357689944848 17575039144507548963 2052283919181493008 9938948267211762049 7313487805185423416 7714992504117590818 1603089484415901821 16825458760271544958 2127951444718917134
gossipcop,9757454803652823803,9757454803652823803 14792425838865715500 17124816386026911853 10173940589965829357 2542543316367558565 9586313555032360175 15671846960884450035 485792006493814892 2656215455372475188 9489315900879100792 9389242969915304268 14964195381232315905 14183989020459966094 13351706610197373367 91420957549339813 580641666976700333 3918572639409743957 1102820301027742687 16825458760271544958 9856398870518538512 5046733519570653322 16825458760271544958 17725461188055961592 3548887267514109859 10918495418547228039 940561303778519756 14906878402746869326
gossipcop,3617344219455334209,4660806971489421702 3617344219455334209 1210384475082834282 9841992341947779874 2085785493585943885 2636186751600340298 11090058276479031535 4820787483638918592 2897932874952656462 3031846041947790635 6352611673883192376 3053945463304808741 2897900834604664235 4473295936011021866 9991006787304869641 4693237241324079648 9774070870016695802 9384398816109274916 13442435953671731177 9229392178377098658 6844223547262409984 51577579381032717 3635255792125415712 4802773085112643008 12404997973415709485 42559655666813865 9992796159468613793
gossipcop,13965015088799402705,13965015088799402705 11373335297984287139 16825458760271544958 2942161726714166638 16825458760271544958 16825458760271544958 16825458760271544958 18069235307686663767 4614278623336653647 17453432719668435997 2801463065104489262 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 17727008139916987502 16825458760271544958 16825458760271544958 5399115829084643791 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 17865867371717594244 16094432374962871532 16825458760271544958
gossipcop,5577450579886316781,15419662418003608607 3278805591835830030 12327919031394290569 5577450579886316781 8723653721426622116 2044430884703676259 16769353122618241759 3001688758183824661 12421984886727953664 16825458760271544958 2662461796967928740 4326495606360345608 7439478607563020869 16825458760271544958 4574663029703574549 17087190962062723181 16825458760271544958 5050887128988243016 7786011012376789301 17588759309632560211 6542021117917506960 4708801110776763831 4486385561003393593 10262650458247395141 17385825544380223048 18419497645675122046 3643914870351203928 5957968396916979695
gossipcop,3980039672556477261,3980039672556477261 8443056397856036132 3633338961384999573 2801832950266912533 1463096601645128329 948578088437734729 7199851474763169309 7200977084692471317 14380856207088774694 2413465921392278553 2700476263841184669 7513724677401902725 7902346729892150661 13929746070173436886 3780873712155589981 2629078107455552733 10378649261913488383 2954401691403529885 7325692324969742213 360172328014305545 16825458760271544958 16825458760271544958 9878925925523954703 16825458760271544958 26740407174841685 1613464824436563483 2701841587547458497 16825458760271544958 10918495418547228039
gossipcop,11470484018512288741,13702285919047867237 10918495418547228039 15560668950975364324 295423469487707174 8672395188437585169 11337666491457912998 15949167777870041881 16825458760271544958 7836660235125492401 9276371728502047816 10200224920335614467 18154192805733552451 11282270133947724688 9597377483954562993 17817973856686988709 15763145632469476967 4918074534739088795 3511155480411093034 8521123501685889428 14871931302076963848 2735945154148836636 16825458760271544958 2022874859164901286 17909856093930567690 8083072600918720640
gossipcop,18328396723647546682,4918074534739088795 4918074534739088795 4918074534739088795 4918074534739088795 16825458760271544958 4918074534739088795 13664214199969494484 15560668950975364324 3062863018366287451 16825458760271544958 16825458760271544958 7574728226863624927 2861223480937915752 402892167636630994 16825458760271544958 8481670871501852380 17700987142209540091 12793955227545214945 10721233276947396794 16825458760271544958 2057009706759778522 16825458760271544958 11568723706105884879 16825458760271544958 16825458760271544958 5608842451077868121 16011370970709642000 4674335371268077154
gossipcop,3335976990946273826,3335976990946273826 16825458760271544958 16825458760271544958 16825458760271544958 4067151402346469804 16825458760271544958 16825458760271544958 631883858883959172 10089001728572730069 3598582161291051752 13774081187021270181 7717634755130485512 9080799064414566312 4163819842980818436 1078355438054491641 7582748024249391764 11242410693715129842 18367377285762490941 7237058037829541493 1193117056251808449 1267517653753495631 2063681799747724558 6124990532728204737 1963820627259590832 6625685693493650850 16755457918316407017
gossipcop,8288490628444743037,8288490628444743037 17782475425747142689 14894884961968514352 9408927647157865327 72704602487132661 11494417860110877243 9463980845709248002 13884832851893530168 3292379666215145433 11552760735112658637 3174509183207540693 4798643513045913277 16825458760271544958 5172560188788497318 2769307711608389781 10064416611185500859 14822864575156061152 5874137874500512638 10609493704181076786 13489269633682930970 14965537258832810311 8623372582104664734 14433238554857768877 12196922325420143494 13370111790906000934 14558853505212974879 15378555074030495423 10994038504611753469
gossipcop,7284496801455012882,7284496801455012882 13812167216417429479 5249959083046219388 16825458760271544958 16825458760271544958 16825458760271544958 3083069190590888741 3568390709565604733 16660726093698491189 16825458760271544958 5413305479711409482 16705925904390266596 9986528028012875324 10445832994673653333 16825458760271544958 5170455867222961300 17840759262105970227 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 1086385993877081114 1673116881106327690 16825458760271544958 2101267124585801352 4918074534739088795
gossipcop,8234648423370862350,8234648423370862350 16825458760271544958 4694844281900360204 16825458760271544958 9377958181918007370 4374535404199406416 1189871016107902240 7487138082780418594 5244293127220806158 2626979738376492382 9338534653024396845 4487188942336693127 8890877868097220881 14614615967879836516 2969621565000044378 14197032751895657558 14463775002490280988 4969464837659298466 14164216883029740997 5990069086583874850 13911920670617969605 9282199684562343979 4191445700011111634 4320988666145540691 5919280794585932278 2636186751600340298 2027170284469080086 3745697443952834258
gossipcop,10927658344053988338,16825458760271544958 9842549896419722045 6555011075052803690 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 16825458760271544958 3618879657744252650 16825458760271544958 5160471802286430867 12666792918048353940 16825458760271544958 10665024512220360748 16825458760271544958 16825458760271544958 16825458760271544958 17252457821371107009 16825458760271544958 6648255340241382245 16825458760271544958 16825458760271544958 1320295869248858098 389977533714972247 16825458760271544958 16825458760271544958 2654157726382958119 16825458760271544958
gossipcop,8264589886956891666,8264589886956891666 12934912938727627310 16263377952964167250 2144623077882084356 2144623077882084356 16825458760271544958 12962274981905501769 3099073650165348085 6819917691337942704 11088312749311367989 3408126451651503622 462130051577168912 8630986009684306384 17376538820896518754 300533798550660076 7758816537934208468 4785686306225294400 16825458760271544958 16825458760271544958 18078116426784048598 16825458760271544958 6079666163642158329 2153255814892569952 14614615967879836516 16825458760271544958
gossipcop,3865163370232049624,3833638190215610240 4411224842459164608 2096388300492869476 10210662309893893329 17398968339240622995 17593462031245693531 3775023641037001296 9306206580592870864 16825458760271544958 1801149590620416702 15500023518164586396 14953195781718596540 14444120833931823683 16825458760271544958 1660577243416644825 18163512998627927030 5615239043727013634 6351660196383045556 2259432788998231395 2468649398348220678 15919153724915883554 5245010425431116666 2482283976779721144
gossipcop,5307092652251289962,5307092652251289962 9212682147653860755 26740407174841685 13065004280153427118 1924475610916703772 13065004554495511726 16825458760271544958 138385849767457628 12983407617528580002 17262817372939815607 10891710604000020087 15777299023232526413 2792585422516851205 3281725533046283402 962702700742290582 10348779363248215514 3459100894888861931 384801822068281893 7389437642778397783 16825458760271544958 3061285823853517407 15945942167921333482 1889036735378591907 3944339493779577459 16825458760271544958 1901668232003043029 12623138882913698762
gossipcop,10730735986748945550,10730735986748945550 2742166738603110153 795261223313132136 4771524003090567604 4134980898206147511 16825458760271544958 234953502739470573 2223343931356513875 10413730083954061601 17744683550247048174 10712695475104585670 1335903212322181612 15560668950975364324 10874921543433680270 10162701536643483879 16825458760271544958 15010484191887296751 699161046796706499 1335903212322181612 11245222917560944983 1412310508912351676 10569680873173865773 5756521400749495318 16825458760271544958 12869112237988053829 17851735580008722029 354504826055758726 1493308101757089250 3079893939910062361
gossipcop,11704821319330739565,11704821319330739565 5811365923881882024 17292134660085053950 2160066794104378883 7571389642025880311 12530004733338238427 11489761975921374807 8748081879522480418 16239575349150151080 14189005135736450458 7232353177846787560 11631262690334922960 490921035380550219 16262926338153703879 16181737083988690673 9618711838155334320 16720149493278171473 10564589961616537541 8709039582054235386 12925479519313727466 15888811532231559236 4935397924697553691 10255943988093662255 12706184203268313468 11123978523246148659 16392642088505487378
gossipcop,7357609514069188249,7357609514069188249 2719945564180816395 13747994634025117366 16255247406479436446 11992941337053992028 3510229001660785300 5902034952207835438 13172659781594982068 4154115138569484952 12366138853129696963 2449737826545915337 16943729477306262518 6213965118926012611 3780083168912876281 3040523246052886930 14500230773718822559 2709816341422972571 7613112547137588548 3108314517028171615 9762257137873772289 2709887723831876121 1297741553283188403 8213120894420802277 2383007078883352738 2861793684635288475 1502425701613513356 7101481386059164650 8507599450972578175 9470922233218690207
gossipcop,16720885358401241213,16720885358401241213 13375352314960813315 13226917160102102819 1340213550481426870 14380856207088774694 3866518956750652021 16189970758346954089 14845859117741019973 12026647719067584510 15794455030239792848 16825458760271544958 9518007234346831629 6036586205478713589 2084246299951674793 5550119169831388816 41342138313403854 3367244306093686718 12413314187112337752 5850728285139493869 9853064501032972993 15960945717600313508 8569834734501741575 17687487246488421979 17124438204591506314 11701427556128784374 14864729130064355490 16825458760271544958
gossipcop,11489306289957941962,11489306289957941962 2258173006683105306 16174782908999546301 6227258205877755953 9487175971387400248 5276501881050593907 9777344616661301269 13533703854971001785 16825458760271544958 16825458760271544958 7861411014096755511 10594127662667280023 18034807415153827578 12169819779519314577 2187156840900707508 631197803412140002 6464061220178749138 3810363639666835979 12715893154790389673 719369196403908354 2093042065268115334 15452785836627160196
gossipcop,16777971838163123636,16777971838163123636 18068816308732616249 7400088013880110960 5087829553633845265 17358624218041163042 3363034152713578290 16825458760271544958 16825458760271544958 6769105512789975454 17559788647410988196 16825458760271544958 3363034152713578290 7565049753845368149 18085118053587142070 6746771967624729296 8859740974985192913 16825458760271544958 11594083010158960832 13403830257173179446 16825458760271544958 4287143897741463767 5816168791934240013 17348856269094691437 17494611845812843451 5522078054690350921 15208956034602561384 1336314521641158681
gossipcop,15124169499690587740,15124169499690587740 9471779830527004181 9061256422814418674 14503378196366743412 5168350378421062247 59050289518711742 6477237593456392161 1080265848120991172 16529833258482947170 4032684714403767025 192430645494979969 3085809290942436952 16825458760271544958 15396684294924140144 12103287493566475850 11057245229907968570 15168021490853150636 9313768924614829662 2566514167673584541 638315950489296912 15880217240998333426 13797460986459792284 18120286502174958187 17093630807152017202 13294050925264330579 2440730057299356567 9324645268478157171 12099696912204509123
gossipcop,9733237612572983094,9733237612572983094 11515726551287599747 5248869679159283440 14291712040832956661 15116074453024121008 4662786019756859871 6582532302219495887 17593462031245693531 14717687034944681733 11346837478060397698 13934633634818040007 6715695505603227639 2385987541445531500 12309889071568143158 4191445700011111634 15957489385055812301 8541999309258385224 11128009739302847090 84465069018772496 1778739207013400813 948461845355225798 7830844751460434094 15243622623021119521 102241949545630343 1388836398296323880 16825458760271544958 5047198008713381819 15014800158184866992 5672819268592622814
gossipcop,13946977105712869872,11068936059856091510 17786403804185248300 9737123254235683379 16825458760271544958 14984904533091162929 3120182302372335292 5264720634694380373 16900955060261879556 9603455071469749944 631883858883959172 17898511476290300572 16247200676619733720 4390671045362153414 5453089243990282891 11644389105537496973 10895335733475431449 10794226855455301812 4918074534739088795 6640394211158087197 13936194709295292089 168838699433772392 5019220693247447868 10505985382051260953 2636186751600340298 15852064601951080064 13593841697261504099
gossipcop,12366138853129696963,12654124022419490638 12366138853129696963 2719945564180816395 7067185890000817842 5202851438088775748 13748066919584564759 5376310169863036484 4834205884813518355 15905647055561008209 15724404387111618878 9929170102820911479 5205418295124080558 2730253576560534216 16825458760271544958 7873836263273408207 9924144183359513267 27164438120273560 15724934450053101548 16825458760271544958 16825458760271544958 11694670211495813531 9997847554296292633 10515150366858987398 14392434350793425342 2709816341422972571 15716798316252388846 14861155161449530624 14748014813083394788
gossipcop,16287977450278377732,16287977450278377732 16825458760271544958 2770731282597039013 3775713799682284551 6151132949416541774 12697145537250675881 9882015416575022631 5025817082525205382 6879421443395811570 4501695966914485949 12983282428980628738 7256110941149300478 16825458760271544958 6963712084293462191 1259752734722640332 1369103410481766884 5680802531819545432 3580513221165740865 801676077179980609 10545199855565620244 549955825201236101 298443466464035341 11728373353105755812 12925884313654606498 17698891527973810792 1991413188150892463 17581130230746457913
gossipcop,301310201883978794,12464711543394124104 12619077918129072682 4253795119286585382 4254925298121771047 6056172730812613672 4043675578776252584 301310201883978794 439927600706100287 4550070828347773441 13226677507993094414 16825458760271544958 16825458760271544958 13746339693925650914 10270469753724129386 7925089839409826541 8154363763412430240 2796476752701755698 16599273372825724763 12473180806010177812 9800208392272162566 8327949859346747581 6756516972823591764 10918495418547228039 16871162776976511394 4292774138466287030 2956406397588425036 495577980357812966 17366508595308140748 18076226733137535933
gossipcop,9307013771928070144,9307013771928070144 10044100552399425022 10016731347866256623 16825458760271544958 1879354681716512423 16825458760271544958 16825458760271544958 14595383397748884206 301937146929655396 7084946980157709083 16825458760271544958 7814840522110277095 17212902333790121838 14516684941091315570 4923404073249675247 1664143035408622806 8833544336208517790 14008642442146786569 12579987096862074542 16825458760271544958 1772506312025400059 15882486870530143206 14899080622734832479 16825458760271544958 6297108678452552407
gossipcop,12934912938727627310,16825458760271544958 16825458760271544958 16825458760271544958 12721383545834775322 12654124022419490638 10742064513320028978 2878835546107874293 8814851794893178834 4154447677320457085 15140224972022638414 4576105789550747602 2642142541492785694 18167161598312559297 12880147393979263516 3387775674202493726 210922848336462306 17404325127990960163 1665625332920915948 14772041388384465480 17839896414226162460 2539068046203339214 11685225859244072650 1369103410481766884 2577015212474534952 16825458760271544958 1800081835870489197 17713993807776778325 16825458760271544958
gossipcop,26740407174841685,26740407174841685 26740407174841685 8254361558921163475 9135543439979794405 8215166803315238571 9656031610534978677 9336707957276326380 14376390145689282906 8319812732517329663 1344966749392678328 17347065833528307291 8609784162961529378 7890696682956253387 3834438013853564644 5490961445931121751 11863358618338536729 2211814317355282410 9178417512356545311 6334016052144114243 9045812759176077533 4685908583638082267 6537087780701939424 17416938409173361657 1162581912753413521 4470828141910814401 10629677203843459734 1853352357799897691
gossipcop,2302561111880421586,4122811300648942499 16825458760271544958 16825458760271544958 3412127897548008545 10918495418547228039 15241251265097891013 10237419473848128986 11482871453977649783 6022069587182280978 14077273760231592928 9901795775530021506 16910379935349686131 6021239717403654779 11677417655929585920 17092950770358789467 9512485045189529937 16418736865112470713 7159373701692510573 1955352489243196015 6637104993521268855 7105733128097799883 10890651095838390788 4296814027181097395 10162372567753032072 8814250702305184610 13007667919760747529
